SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
,Residencial urbano,Urbano,69.585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-68.84014,-32.86785,"-68,84014-32,86785",1986,5.06461
,Residencial urbano,Urbano,69.585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-68.84142,-32.86777,"-68,84142-32,86777",3169,2.99958
,Residencial urbano,Urbano,69.585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-68.84033,-32.86858,"-68,84033-32,86858",1985,6.03065
,Residencial urbano,Urbano,74.733,4,Cuarta Oeste,500070703,714,254,19,141,109,28,96,51,184,35,86,178,10,649,32,6,0,2,,,,-68.8357,-32.86595,"-68,8357-32,86595",1403,6.9327
,Residencial urbano,Urbano,69.585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-68.83973,-32.87068,"-68,83973-32,87068",4665,34.60246
,Residencial urbano,Urbano,69.585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-68.83974,-32.87069,"-68,83974-32,87069",4674,34.64131
,Residencial urbano,Urbano,,4,,500490412,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,,,,-68.83798,-32.86242,"-68,83798-32,86242",23,3.14457
,Residencial urbano,Urbano,69.585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-68.84067,-32.86985,"-68,84067-32,86985",4081,20.29291
,Residencial urbano,Urbano,,4,,500490413,493,146,31,130,88,22,144,26,171,12,24,44,3,424,45,5,0,2,,,,-68.83812,-32.86242,"-68,83812-32,86242",27,3.19881
,Residencial urbano,Urbano,,4,,500490413,493,146,31,130,88,22,144,26,171,12,24,44,3,424,45,5,0,2,,,,-68.84109,-32.86243,"-68,84109-32,86243",32,5.98055
,Residencial urbano,Urbano,,4,,500490413,493,146,31,130,88,22,144,26,171,12,24,44,3,424,45,5,0,2,,,,-68.84028,-32.86244,"-68,84028-32,86244",36,4.90242
6ta Seccion Residencial Norte,Residencial urbano,Urbano,,6,Residencial Norte,500490414,1059,308,29,275,138,41,324,78,333,67,62,78,2,950,63,9,0,23,,,,-68.84297,-32.86246,"-68,84297-32,86246",43,5.05857
,Residencial urbano,Urbano,74.733,4,Cuarta Oeste,500070703,714,254,19,141,109,28,96,51,184,35,86,178,10,649,32,6,0,2,,,,-68.83462,-32.86687,"-68,83462-32,86687",2639,16.01211
6ta Seccion Residencial Norte,Residencial urbano,Urbano,,6,Residencial Norte,500490414,1059,308,29,275,138,41,324,78,333,67,62,78,2,950,63,9,0,23,,,,-68.84394,-32.86251,"-68,84394-32,86251",47,4.18169
1ra Seccion Parque Central,Comercial,Altamente urbano,64.952,1,Parque Central,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,,,,-68.84543,-32.8724,"-68,84543-32,8724",2329,5.64352
1ra Seccion Parque Central,Residencial urbano,Urbano,64.952,1,Parque Central,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,,,,-68.84355,-32.87275,"-68,84355-32,87275",5560,9.58911
1ra Seccion Parque Central,Residencial urbano,Urbano,64.952,1,Parque Central,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,,,,-68.84119,-32.87179,"-68,84119-32,87179",2145,19.00437
6ta Seccion Residencial Norte,Residencial urbano,Urbano,71.373,6,Residencial Norte,500070701,643,212,25,104,87,17,118,29,171,42,66,145,19,595,20,3,0,8,,,,-68.84299,-32.86276,"-68,84299-32,86276",76,6.16397
6ta Seccion Residencial Norte,Residencial urbano,Urbano,72.185,6,Residencial Norte,500071107,770,257,15,143,149,26,168,34,212,33,72,178,7,712,27,2,0,4,,,,-68.84393,-32.86277,"-68,84393-32,86277",80,5.35382
1ra Seccion Parque Central,Comercial,Altamente urbano,64.952,1,Parque Central,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,,,,-68.84417,-32.87297,"-68,84417-32,87297",2325,10.84206
1ra Seccion Parque Central,Comercial,Altamente urbano,64.952,1,Parque Central,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,,,,-68.84354,-32.87287,"-68,84354-32,87287",5663,9.64995
6ta Seccion Residencial Norte,Residencial urbano,Urbano,66.755,6,Residencial Norte,500071110,853,287,24,138,160,31,113,29,190,32,90,318,19,799,31,0,0,0,,,,-68.85664,-32.87184,"-68,85664-32,87184",2161,4.77572
6ta Seccion Residencial Norte,Residencial urbano,Urbano,66.755,6,Residencial Norte,500071110,853,287,24,138,160,31,113,29,190,32,90,318,19,799,31,0,0,0,,,,-68.85721,-32.87118,"-68,85721-32,87118",4816,1.8768
6ta Seccion Residencial Norte,Residencial urbano,Urbano,66.755,6,Residencial Norte,500071110,853,287,24,138,160,31,113,29,190,32,90,318,19,799,31,0,0,0,,,,-68.85586,-32.87124,"-68,85586-32,87124",2240,6.26526
6ta Seccion Residencial Norte,Residencial urbano,Urbano,72.185,6,Residencial Norte,500071107,770,257,15,143,149,26,168,34,212,33,72,178,7,712,27,2,0,4,,,,-68.84391,-32.86331,"-68,84391-32,86331",165,8.20943
6ta Seccion Residencial Norte,Residencial urbano,Urbano,,6,Residencial Norte,500491217,733,235,21,158,50,28,111,16,180,19,100,234,5,672,32,0,0,0,,,,-68.85359,-32.86333,"-68,85359-32,86333",172,0.43817
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45.097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-68.85787,-32.86359,"-68,85787-32,86359",291,0.002
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45.097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-68.85846,-32.86414,"-68,85846-32,86414",480,0.11018
