ID,radio_censal,punto_tipo,poblacion,hogares,desocupado,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_agua,sin_cloaca,densidad_comercial,microzonificacion,macrozonificacion,x,y,index,clasificacion
I1,500490412.0,Intersercción,845.0,253.0,36.0,186.0,122.0,27.0,190.0,56.0,279.0,42.0,57.0,118.0,8.0,753.0,42.0,2.0,0.0,3.0,8.0,Comercial,Altamente urbano,"-68,83268912","-32,86220265",74,1.0
I3,500490412.0,Intersercción,845.0,253.0,36.0,186.0,122.0,27.0,190.0,56.0,279.0,42.0,57.0,118.0,8.0,753.0,42.0,2.0,0.0,3.0,7.0,Residencial urbano,Urbano,"-68,83349566","-32,86225332",76,1.0
I4,500490412.0,Intersercción,845.0,253.0,36.0,186.0,122.0,27.0,190.0,56.0,279.0,42.0,57.0,118.0,8.0,753.0,42.0,2.0,0.0,3.0,4.0,Residencial urbano,Urbano,"-68,83422206","-32,86230839",77,1.0
I5,500490412.0,Intersercción,845.0,253.0,36.0,186.0,122.0,27.0,190.0,56.0,279.0,42.0,57.0,118.0,8.0,753.0,42.0,2.0,0.0,3.0,3.0,Residencial urbano,Urbano,"-68,83485233","-32,86235431",78,1.0
I6,500490412.0,Intersercción,845.0,253.0,36.0,186.0,122.0,27.0,190.0,56.0,279.0,42.0,57.0,118.0,8.0,753.0,42.0,2.0,0.0,3.0,2.0,Residencial urbano,Urbano,"-68,83616636","-32,86240112",79,1.0
I7,500490414.0,Intersercción,1059.0,308.0,29.0,275.0,138.0,41.0,324.0,78.0,333.0,67.0,62.0,78.0,2.0,950.0,63.0,9.0,0.0,23.0,6.0,Comercial,Altamente urbano,"-68,8421707","-32,86241785",80,1.0
I8,500490414.0,Intersercción,1059.0,308.0,29.0,275.0,138.0,41.0,324.0,78.0,333.0,67.0,62.0,78.0,2.0,950.0,63.0,9.0,0.0,23.0,6.0,Residencial urbano,Urbano,"-68,84175403","-32,86241733",81,1.0
I9,500490412.0,Intersercción,845.0,253.0,36.0,186.0,122.0,27.0,190.0,56.0,279.0,42.0,57.0,118.0,8.0,753.0,42.0,2.0,0.0,3.0,3.0,Residencial urbano,Urbano,"-68,8379826","-32,86242152",82,1.0
I10,500490413.0,Intersercción,493.0,146.0,31.0,130.0,88.0,22.0,144.0,26.0,171.0,12.0,24.0,44.0,3.0,424.0,45.0,5.0,0.0,2.0,3.0,Residencial urbano,Urbano,"-68,83812149","-32,8624217",83,1.0
I11,500490414.0,Intersercción,1059.0,308.0,29.0,275.0,138.0,41.0,324.0,78.0,333.0,67.0,62.0,78.0,2.0,950.0,63.0,9.0,0.0,23.0,6.0,Residencial urbano,Urbano,"-68,8416152","-32,86242093",84,1.0
