niveles,supcubiert,escanexo,escnom,esccodpos,escdom,esctel,escemail,escfeccre,PosX,PosY,X_WGS,Y_WGS
Jardines Maternales SEOS,"0.000000",C259,SOLES (SOLCITO),"0.000000","MUNICENTRO GIMNASIO N° 5, B° ALTO MENDOZ","4308230",,,-68.9040,-32.8870,-68.903960,-32.887400
Jardines Maternales SEOS,"0.000000",C257,ATRAPASUE�?OS,"0.000000","SICENRIDAD Y RIVADAVIA, B° NUEVA ESPERAN","4459599",elenistica@yahoo.com.ar,,-68.9100,-32.8860,-68.910870,-32.886180
Jardines Maternales SEOS,"0.000000",C256,INFANCIA,"0.000000","CALLE PRINCIPAL (ACCESO AUTODROMO), CASA","4316747",,,-68.9050,-32.8890,-68.905420,-32.889440
Jardines Maternales SEOS,"0.000000",C260,"APRENDER, CIC FLORES SUR","0.000000",FRATERNIDAD S/N,,,,-68.8700,-32.8750,-68.870200,-32.875120
Jardines Maternales SEOS,"0.000000",C258,SAN FRANCISCO DE ASIS,"0.000000","PRIMERO DE MAYO S/N, M17 C5, B° ANDINO","4446673",,,-68.9130,-32.8880,-68.913820,-32.887980
Privadas Primarias,"0.000000",P003,SAN BUENAVENTURA,"5500.000000",PATRICIAS MENDOCINAS 1475,0261-4253337,dgeP003@mendoza.edu.ar,1753/01/01,-68.8420,-32.8860,-68.842010,-32.886250
Privadas Secundarias,"0.000000",S003,SAN BUENAVENTURA,"5500.000000",PATRICIAS MENDOCINAS 1475,0261-4253337,dgeS003@mendoza.edu.ar,1946/02/12,-68.8420,-32.8860,-68.842090,-32.886020
EGB3 y Polimodal,"0.000000","4137",Nieves del Aconcagua,"5500.000000",Paso de los Andes y Manuel A. Saez,0261-4201432,dge4137@mendoza.edu.ar,1994/03/01,-68.8590,-32.8940,-68.859660,-32.894120
Privadas Primarias,"0.000000",P046,I.C.E.I.,"5500.000000",GRAL. PAZ 531,0261-4230412,dgeP046@mendoza.edu.ar,1957/08/27,-68.8450,-32.8830,-68.844980,-32.883840
Privadas Secundarias,"0.000000",S046,I.C.E.I   INSTITUTO CUYANO DE ED. INTEGR,"5500.000000",GRAL PAZ 531,0261-4252102,dgeS046@mendoza.edu.ar,1957/08/27,-68.8440,-32.8830,-68.844870,-32.883880
Privadas Secundarias,"0.000000",S002,MARIA AUXILIADORA,"5500.000000",25 DE MAYO 1466,0261-4380671,dgeS002@mendoza.edu.ar,1937/02/23,-68.8460,-32.8850,-68.846590,-32.885060
Privadas Primarias,"0.000000",P002,MARIA AUXILIADORA,"5500.000000",25 DE MAYO 1466,0261-4380671,dgeP002@mendoza.edu.ar,1753/01/01,-68.8460,-32.8850,-68.846370,-32.885500
Privadas Secundarias,"0.000000",S014,XXI DE ABRIL,"5500.000000",ESPEJO 638,0261-4257613,dgeS014@mendoza.edu.ar,1983/03/01,-68.8470,-32.8880,-68.847430,-32.888210
Privadas Primarias,"0.000000",P225,LUMEN DE SAN JOSE DE CALASANZ,"5500.000000",JOSE FEDERICO MORENO 2961,0261-4303907,,1995/11/01,-68.8310,-32.8690,-68.831680,-32.868990
EGB3 y Polimodal,"4774.610000","4083",AGUSTIN ALVAREZ,"5500.000000",CHILE 1050,0261-4239426,dge4083@mendoza.edu.ar,1964/12/09,-68.8460,-32.8900,-68.846470,-32.890220
EGB3 y Polimodal,"4774.610000","4085",ALFREDO R.BUFANO,"5500.000000",CHILE 1050,0261-4236447,dge4085@mendoza.edu.ar,1937/03/12,-68.8460,-32.8900,-68.846240,-32.890070
CENS,"4774.610000","3409",CHIARA LUBICH,"5500.000000",PELLEGRINI 671,0261-4258059,dge3409@mendoza.edu.ar,1970/07/27,-68.8420,-32.8720,-68.842480,-32.872510
Privadas Secundarias,"0.000000",S121,INSTITUTO BLOSSOM,"5500.000000",CHILE Y MONTEVIDEO,0261-4236155,dgeS121@mendoza.edu.ar,1900/01/01,-68.8460,-32.8910,-68.846880,-32.891900
Escuelas Normales,"8488.830000","9030",TOMAS G.CRUZ,"5500.000000",MITRE 955,0261-4296763,dge9030@mendoza.edu.ar,1925/01/01,-68.8440,-32.8910,-68.844770,-32.891210
Terciarios,"8488.830000",T002,NORMAL SUP. TOMAS GODOY CRUZ,"5500.000000",MITRE 929,0261-4296559,dgeT002@mendoza.edu.ar,1900/01/01,-68.8440,-32.8910,-68.844330,-32.891130
Escuelas Normales,"8488.830000","9002",NORMAL TOMAS GODOY CRUZ,"5500.000000",RIVADAVIA 350,0261-4296405,dge9002@mendoza.edu.ar,1875/10/01,-68.8440,-32.8910,-68.844270,-32.891140
Escuelas Normales,"8488.830000","9031",JAR.EXC.TOMAS GODOY CRUZ,"5500.000000",PATRICIAS MENDOCINAS 980,0261-4295233,dge9031@mendoza.edu.ar,1890/08/05,-68.8430,-32.8910,-68.843870,-32.891390
Terciarios,"0.000000",T202,INSTITUTO DE EDUC. SUPERIOR MAGISTER,"5500.000000",AV. MITRE 770,0261-4294713,dgeT202@mendoza.edu.ar,1993/10/03,-68.8450,-32.8930,-68.845660,-32.893230
CENS,"0.000000","3425",POLICÍAS H�?ROES DE MENDOZA,"5500.000000","CHILE 947
",0261-4237522,dge3425@mendoza.edu.ar,1987/07/17,-68.8460,-32.8910,-68.846040,-32.891110
Privadas Secundarias,"0.000000",S010,SAN LUIS GONZAGA,"5500.000000",9 DE JULIO 777,0261-4296518,dgeS010@mendoza.edu.ar,1753/01/01,-68.8410,-32.8940,-68.841490,-32.894100
Privadas Primarias,"0.000000",P010,SAN LUIS GONZAGA,"5500.000000",COLON 93,0261-4291656,dgeP010@mendoza.edu.ar,1900/01/01,-68.8410,-32.8940,-68.841560,-32.894620
"Inicial, EGB1 y EGB2","1008.960000","1035",PRESIDENTE QUINTANA,"5500.000000",SAN LORENZO 758,0261-4259620,dge1035@mendoza.edu.ar,1914/11/10,-68.8500,-32.8920,-68.850300,-32.892210
Privadas Primarias,"0.000000",P136,S.T.R.O.B.E.R.I.,"5500.000000",DON BOSCO 89,0261-4237600,dgeP136@mendoza.edu.ar,1993/05/17,-68.8380,-32.8940,-68.838850,-32.894420
Terciarios,"0.000000",T228,INSTITUTO SUPERIOR NUEVO CUYO,"5500.000000",SAN JUAN 1080  1�?PISO,0261-4200135,dgeT228@mendoza.edu.ar,1753/01/01,-68.8370,-32.8910,-68.837330,-32.891170
Escuelas Especiales,"844.220000","2002",PEDRO NOLASCO FERREYRA,"5500.000000",GARIBALDI 280,0261-4203873,dge2002@mendoza.edu.ar,1943/08/02,-68.8340,-32.8910,-68.834720,-32.891050
Post Primaria Especial,"844.220000","7004",Dr.Daniel Fernando Gonzalez,"5500.000000",Montecaseros 1391,0261 - 4236467,dge7004@mendoza.edu.ar,1997/02/24,-68.8310,-32.8870,-68.831130,-32.887860
Centros Laborales,"260.390000","6015",CECILIA GRIERSON,"5500.000000",SALTA 1149. P.B.,0261-4295527,dge6015@mendoza.edu.ar,1900/01/01,-68.8340,-32.8900,-68.834180,-32.890550
Terciarios,"0.000000",T070,INSTITUTO SUPERIOR DE CS. RELIGIOSAS SAN,"5500.000000",SALTA 1239,026-4298259,dgeT070@mendoza.edu.ar,1983/06/22,-68.8340,-32.8890,-68.834300,-32.889500
Privadas Primarias,"0.000000",P007,SAGRADO CORAZON,"5500.000000",LAVALLE 301,0261-4230375,dgeP007@mendoza.edu.ar,1901/03/16,-68.8340,-32.8880,-68.833970,-32.888880
Privadas Secundarias,"0.000000",S007,SAGRADO CORAZON,"5500.000000",LAVALLE 301,0261-4230375,dgeS007@mendoza.edu.ar,1937/02/23,-68.8340,-32.8880,-68.834030,-32.888880
Escuelas Especiales,"1101.040000","2005",RAQUEL MENENDEZ DE PAVON,"5500.000000",BUENOS AIRES 553,0261-4239271,dge2005@mendoza.edu.ar,1900/01/01,-68.8300,-32.8870,-68.830840,-32.887920
CEBA,"0.000000","1",COMBATE DE SAN LORENZO,"5500.000000",MONTECASEROS y C�?RDOBA,0261- 4231631,dge3001@mendoza.edu.ar,1900/01/01,-68.8310,-32.8840,-68.830970,-32.884110
"Inicial, EGB1 y EGB2","0.000000","1272",DOMINGO BOMBAL,"5500.000000",LAVALLE 502,0261-4252644,dge1272@mendoza.edu.ar,1930/05/23,-68.8310,-32.8880,-68.831100,-32.888670
Terciarios,"0.000000",T236,NUESTRA ESCUELA,"5500.000000",BUENOS AIRES 33-GALERIA KOLTON,"0",dgeT236@mendoza.edu.ar,1753/01/01,-68.8380,-32.8870,-68.838000,-32.887620
