ID,totalpobl,dens pob,hogares,Desocupado,0 - 14,65 y mayor,Inicial (j,Primario,EGB,Secundario,Polimodal,Superior n,Universita,Post unive,lee_y _esc,NoLee_ni_e,Hacinamien,sin red ag,Sin cloaca,macroz_2,Clasifica,Seccion,X_WGS,Y_WGS,Calidad_Residuo
359,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86238,-32.89226,
1808,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87298,-32.88441,
1809,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87345,-32.88436,
1810,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86988,-32.88491,
1811,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87339,-32.88514,
1812,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.8734,-32.88513,
1813,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87345,-32.88543,
1814,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87344,-32.88544,
1815,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86688,-32.88548,
1817,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87351,-32.88186,
1818,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87361,-32.88179,
1819,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.8733,-32.88417,
1820,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87344,-32.88433,
1826,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.8627,-32.88627,
1827,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86299,-32.88647,
1828,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86933,-32.88613,
1829,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87002,-32.88655,
1830,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87016,-32.88664,
1831,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87286,-32.8857,
1832,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86329,-32.88616,
1833,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86326,-32.88635,
1834,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86984,-32.88597,
1835,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86932,-32.88614,
1836,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86753,-32.8887,
1837,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87038,-32.88836,
1838,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86682,-32.8888,
1839,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86676,-32.8876,
1840,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86721,-32.88882,
1841,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86345,-32.8885,
1842,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86696,-32.88893,
1843,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87071,-32.88837,
1844,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87148,-32.8881,
1845,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87086,-32.88846,
1846,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.8634,-32.88832,
1847,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86356,-32.88799,
1848,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86418,-32.88763,
1849,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86323,-32.88772,
1850,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86677,-32.88759,
1851,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86601,-32.89033,
1852,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86631,-32.8905,
1853,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86493,-32.89054,
1854,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86481,-32.89057,
1855,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86389,-32.89075,
1856,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86363,-32.88935,
1857,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87156,-32.89078,
1858,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86913,-32.89008,
1859,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86916,-32.88988,
1860,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86648,-32.88926,
1861,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.8662,-32.89009,
1862,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86633,-32.88901,
1863,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87246,-32.8894,
1864,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87413,-32.88963,
1865,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87258,-32.89279,
1866,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87181,-32.89181,
1867,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87312,-32.89188,
1868,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86411,-32.89201,
1869,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86408,-32.89393,
1870,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87358,-32.89115,
1871,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87323,-32.89166,
1872,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87323,-32.89168,
1873,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87165,-32.89128,
1874,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86404,-32.89158,
1875,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87162,-32.89104,
1876,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87337,-32.89145,
1877,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86734,-32.89404,
1878,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86422,-32.89869,
1879,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86508,-32.89971,
1880,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86509,-32.89973,
1881,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87045,-32.899,
1882,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87045,-32.89895,
1883,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.86572,-32.89907,
1884,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.864,-32.89493,
1885,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,9,-68.87195,-32.89397,
1902,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,10,2,9,-68.88156,-32.8804,
1903,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,10,2,9,-68.88235,-32.88089,
1904,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,10,2,9,-68.88235,-32.88065,
1905,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,10,2,9,-68.88114,-32.87881,
1906,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,10,2,9,-68.8788,-32.88333,
1911,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,10,2,9,-68.88129,-32.87931,
1912,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,10,2,9,-68.87562,-32.87858,
360,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,2,1,9,-68.86209,-32.89091,
1898,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,6,4,9,-68.86272,-32.89416,
1899,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,6,4,9,-68.86253,-32.89315,
