punto_nombre,punto_numero,punto_tipo,link,poblacion_total,hogares,desocupados,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_red_agua,sin_cloaca,densidad_comercios,x,y
MOSCONI ENRIQUE GRAL ING,1,Interseccion,500490412,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,8,-68.83268912,-32.86220265
MOSCONI ENRIQUE GRAL ING,2,Interseccion,500490915,958,287,37,207,143,29,174,82,276,73,69,182,2,868,45,3,0,7,8,-68.83265173,-32.86219809
MOSCONI ENRIQUE GRAL ING,4,Interseccion,500490412,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,7,-68.83349566,-32.86225332
MOSCONI ENRIQUE GRAL ING,8,Interseccion,500490412,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,4,-68.83422206,-32.86230839
MOSCONI ENRIQUE GRAL ING,12,Interseccion,500490412,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,3,-68.83485233,-32.86235431
MOSCONI ENRIQUE GRAL ING,18,Interseccion,500490412,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,2,-68.83616636,-32.86240112
MOSCONI ENRIQUE GRAL ING,20,Interseccion,500490414,1059,308,29,275,138,41,324,78,333,67,62,78,2,950,63,9,0,23,6,-68.8421707,-32.86241785
MOSCONI ENRIQUE GRAL ING,22,Interseccion,500490414,1059,308,29,275,138,41,324,78,333,67,62,78,2,950,63,9,0,23,6,-68.84175403,-32.86241733
MOSCONI ENRIQUE GRAL ING,23,Interseccion,500490412,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,3,-68.8379826,-32.86242152
MOSCONI ENRIQUE GRAL ING,27,Interseccion,500490413,493,146,31,130,88,22,144,26,171,12,24,44,3,424,45,5,0,2,3,-68.83812149,-32.8624217
MOSCONI ENRIQUE GRAL ING,31,Interseccion,500490414,1059,308,29,275,138,41,324,78,333,67,62,78,2,950,63,9,0,23,6,-68.8416152,-32.86242093
MOSCONI ENRIQUE GRAL ING,32,Interseccion,500490413,493,146,31,130,88,22,144,26,171,12,24,44,3,424,45,5,0,2,6,-68.8410916,-32.86243452
MOSCONI ENRIQUE GRAL ING,36,Interseccion,500490413,493,146,31,130,88,22,144,26,171,12,24,44,3,424,45,5,0,2,5,-68.8402796,-32.8624425
HOUSSAY BERNARDO DR,43,Interseccion,500490414,1059,308,29,275,138,41,324,78,333,67,62,78,2,950,63,9,0,23,5,-68.84297192,-32.86246395
HOUSSAY BERNARDO DR,47,Interseccion,500490414,1059,308,29,275,138,41,324,78,333,67,62,78,2,950,63,9,0,23,4,-68.84394408,-32.86251025
HOUSSAY BERNARDO DR,53,Interseccion,500491216,1043,331,33,171,229,27,281,38,311,47,89,172,7,954,42,3,0,2,4,-68.84469192,-32.86252921
HOUSSAY BERNARDO DR,55,Interseccion,500491216,1043,331,33,171,229,27,281,38,311,47,89,172,7,954,42,3,0,2,3,-68.84525813,-32.86254795
