fid,NOMBRE,heatmap_co
1,MOSCONI ENRIQUE GRAL ING,7.96807
2,MOSCONI ENRIQUE GRAL ING,7.96908
3,MOSCONI ENRIQUE GRAL ING,7.96807
4,MOSCONI ENRIQUE GRAL ING,6.73568
5,MOSCONI ENRIQUE GRAL ING,7.96807
6,MOSCONI ENRIQUE GRAL ING,6.73568
7,MOSCONI ENRIQUE GRAL ING,7.96807
8,MOSCONI ENRIQUE GRAL ING,4.32811
9,MOSCONI ENRIQUE GRAL ING,6.73568
10,MOSCONI ENRIQUE GRAL ING,6.73568
11,MOSCONI ENRIQUE GRAL ING,4.32811
12,MOSCONI ENRIQUE GRAL ING,2.60382
13,MOSCONI ENRIQUE GRAL ING,4.32811
14,MOSCONI ENRIQUE GRAL ING,2.60382
15,MOSCONI ENRIQUE GRAL ING,4.32811
16,MOSCONI ENRIQUE GRAL ING,2.60382
17,MOSCONI ENRIQUE GRAL ING,2.60382
18,MOSCONI ENRIQUE GRAL ING,2.04421
19,MOSCONI ENRIQUE GRAL ING,2.04421
20,MOSCONI ENRIQUE GRAL ING,6.02498
21,MOSCONI ENRIQUE GRAL ING,6.02498
22,MOSCONI ENRIQUE GRAL ING,6.11356
23,MOSCONI ENRIQUE GRAL ING,3.14457
24,MOSCONI ENRIQUE GRAL ING,3.14457
25,MOSCONI ENRIQUE GRAL ING,2.04421
26,MOSCONI ENRIQUE GRAL ING,2.04421
27,MOSCONI ENRIQUE GRAL ING,3.19881
28,MOSCONI ENRIQUE GRAL ING,3.14457
29,MOSCONI ENRIQUE GRAL ING,3.14457
30,MOSCONI ENRIQUE GRAL ING,3.19881
31,MOSCONI ENRIQUE GRAL ING,6.08509
32,MOSCONI ENRIQUE GRAL ING,5.98055
33,MOSCONI ENRIQUE GRAL ING,6.11356
34,MOSCONI ENRIQUE GRAL ING,5.98055
35,MOSCONI ENRIQUE GRAL ING,3.19881
36,MOSCONI ENRIQUE GRAL ING,4.90242
37,MOSCONI ENRIQUE GRAL ING,3.19881
38,MOSCONI ENRIQUE GRAL ING,4.90242
39,MOSCONI ENRIQUE GRAL ING,4.90242
40,MOSCONI ENRIQUE GRAL ING,5.98055
41,MOSCONI ENRIQUE GRAL ING,5.98055
42,MOSCONI ENRIQUE GRAL ING,4.90242
43,HOUSSAY BERNARDO DR,5.05857
44,HOUSSAY BERNARDO DR,5.05857
45,HOUSSAY BERNARDO DR,6.02498
46,HOUSSAY BERNARDO DR,6.02498
47,HOUSSAY BERNARDO DR,4.18169
48,HOUSSAY BERNARDO DR,5.05857
49,HOUSSAY BERNARDO DR,4.18169
50,HOUSSAY BERNARDO DR,5.05857
51,HOUSSAY BERNARDO DR,4.18169
52,HOUSSAY BERNARDO DR,4.18169
53,HOUSSAY BERNARDO DR,3.54730
54,HOUSSAY BERNARDO DR,3.54730
55,HOUSSAY BERNARDO DR,2.89953
56,HOUSSAY BERNARDO DR,3.54730
57,HOUSSAY BERNARDO DR,2.89953
58,HOUSSAY BERNARDO DR,3.54730
59,HOUSSAY BERNARDO DR,2.10371
60,HOUSSAY BERNARDO DR,2.10371
61,HOUSSAY BERNARDO DR,2.89953
62,HOUSSAY BERNARDO DR,2.89953
63,HOUSSAY BERNARDO DR,2.10371
64,HOUSSAY BERNARDO DR,1.50433
65,HOUSSAY BERNARDO DR,2.10371
66,HOUSSAY BERNARDO DR,1.50433
67,25 DE MAYO,6.28984
68,25 DE MAYO,5.98055
69,25 DE MAYO,5.98055
70,25 DE MAYO,6.28984
71,HOUSSAY BERNARDO DR,1.50433
72,HOUSSAY BERNARDO DR,1.50433
73,HOUSSAY BERNARDO DR,1.30864
