poblacion,0-14,primario,secundario,polimodal,lee_y _esc,NoLee_ni_e,x,y,ID,clasificacion,punto_tipo
620.0,101.0,79.0,156.0,29.0,577.0,22.0,-68.85207,-32.873470000000005,PV11,0,Punto verde
620.0,101.0,79.0,156.0,29.0,577.0,22.0,-68.85207,-32.873470000000005,PV11,0,Punto verde
620.0,101.0,79.0,156.0,29.0,577.0,22.0,-68.85207,-32.873470000000005,PV11,0,Punto verde
985.0,161.0,166.0,198.0,47.0,915.0,35.0,-68.84756,-32.87072,PV7,0,Punto verde
985.0,161.0,166.0,198.0,47.0,915.0,35.0,-68.84756,-32.87072,PV7,0,Punto verde
985.0,161.0,166.0,198.0,47.0,915.0,35.0,-68.84756,-32.87072,PV7,0,Punto verde
878.0,123.0,115.0,181.0,41.0,831.0,25.0,-68.85376,-32.86608,PV3,0,Punto verde
878.0,123.0,115.0,181.0,41.0,831.0,25.0,-68.85376,-32.86608,PV3,0,Punto verde
878.0,123.0,115.0,181.0,41.0,831.0,25.0,-68.85376,-32.86608,PV3,0,Punto verde
452.0,49.0,55.0,102.0,18.0,439.0,8.0,-68.83766999999999,-32.86913,PV8,0,Punto verde
452.0,49.0,55.0,102.0,18.0,439.0,8.0,-68.83766999999999,-32.86913,PV8,0,Punto verde
452.0,49.0,55.0,102.0,18.0,439.0,8.0,-68.83766999999999,-32.86913,PV8,0,Punto verde
519.0,65.0,73.0,119.0,9.0,484.0,14.0,-68.84286,-32.87689,PV12,1,Punto verde
519.0,65.0,73.0,119.0,9.0,484.0,14.0,-68.84286,-32.87689,PV12,1,Punto verde
519.0,65.0,73.0,119.0,9.0,484.0,14.0,-68.84286,-32.87689,PV12,1,Punto verde
519.0,65.0,73.0,119.0,9.0,484.0,14.0,-68.84286,-32.87688,PV13,1,Punto verde
519.0,65.0,73.0,119.0,9.0,484.0,14.0,-68.84286,-32.87688,PV13,1,Punto verde
519.0,65.0,73.0,119.0,9.0,484.0,14.0,-68.84286,-32.87688,PV13,1,Punto verde
411.0,50.0,41.0,90.0,8.0,390.0,10.0,-68.84285,-32.88336,PV18,1,Punto verde
411.0,50.0,41.0,90.0,8.0,390.0,10.0,-68.84285,-32.88336,PV18,1,Punto verde
