ID;radio_censal;punto_tipo;poblacion;hogares;desocupado;0-14;65_mas;inicial;primario;egb;secundario;polimodal;superior;universitario;post_universitario;lee_y _esc;NoLee_ni_e;hacinamiento;sin_agua;sin_cloaca;densidad_comercial;microzonificacion;macrozonificacion;x;y;index
PV1;500071020;Punto verde;848;259;39;190;97;35;124;80;180;50;78;225;22;766;40;1;0;23;0;Residencial urbano;Urbano;-68,87616334;-32,86881512;0
PV3;500071102;Punto verde;878;309;27;123;192;20;115;38;181;41;91;327;36;831;25;0;0;2;5;Residencial urbano;Urbano;-68,85376;-32,86608;1
PV4;500070702;Punto verde;1018;346;46;182;195;40;216;27;274;39;137;208;14;922;58;2;0;2;12;Residencial urbano;Urbano;-68,83332;-32,86292;2
PV5;500070205;Punto verde;778;239;31;170;82;26;163;55;257;51;57;109;2;705;37;4;0;2;16;Residencial urbano;Urbano;-68,82580223;-32,87105339;3
PV6;500071010;Punto verde;1376;332;67;429;105;73;613;68;359;48;22;30;0;1157;116;20;0;8;3;Residencial urbano;Urbano;-68,86789;-32,86903;4
PV7;500071108;Punto verde;985;375;38;161;145;28;166;47;198;47;120;312;15;915;35;1;0;3;17;Residencial urbano;Urbano;-68,84756;-32,87072;5
PV8;500070709;Punto verde;452;169;24;49;92;8;55;19;102;18;56;174;12;439;8;0;0;0;17;Residencial urbano;Urbano;-68,83767;-32,86913;6
PV9;500070211;Punto verde;963;321;19;204;155;26;204;44;278;28;95;207;9;868;41;2;0;0;25;Residencial urbano;Urbano;-68,82783;-32,87426;7
PV37;500071014;Punto verde;1057;259;56;300;71;51;430;65;254;55;34;45;3;904;90;14;0;2;1;Residencial urbano;Urbano;-68,86756;-32,87286;8
PV10;500071013;Punto verde;12;1;0;1;0;0;3;0;0;3;5;0;0;12;0;0;0;0;2;Especial Ejercito;Especial;-68,85939;-32,87422;9
PV11;500070604;Punto verde;620;215;17;101;103;16;79;42;156;29;62;189;15;577;22;1;0;0;7;Residencial urbano;Urbano;-68,85207;-32,87347;10
PV12;500070104;Punto verde;519;245;9;65;132;11;73;12;119;9;59;198;12;484;14;0;0;0;5;Comercial;Altamente urbano;-68,84286;-32,87689;11
PV13;500070104;Punto verde;519;245;9;65;132;11;73;12;119;9;59;198;12;484;14;0;0;0;5;Comercial;Altamente urbano;-68,84286;-32,87688;12
PV14;500070106;Punto verde;664;268;21;104;120;16;103;12;154;30;65;233;8;610;18;2;2;0;2;Comercial;Altamente urbano;-68,83989;-32,87759;13
PV15;500071303;Punto verde;1314;285;52;382;39;49;569;140;236;110;25;34;0;1133;85;5;0;6;3;Residencial urbano;Urbano;-68,90318;-32,88753;14
PV16;500071017;Punto verde;1016;311;37;184;130;32;141;43;261;50;145;284;11;945;38;0;0;1;3;Residencial urbano;Urbano;-68,873;-32,87731;15
PV23;500070505;Punto verde;511;201;10;86;80;13;64;30;109;13;46;189;23;476;14;1;0;0;25;Residencial urbano;Urbano;-68,85548672;-32,88535933;16
PV18;500070115;Punto verde;411;192;11;50;100;13;41;11;90;8;57;160;17;390;10;2;0;0;80;Central;Altamente urbano;-68,84285;-32,88336;17
PV19;500070107;Punto verde;704;212;25;91;142;10;131;11;218;10;58;205;27;660;24;0;0;0;75;Comercial;Altamente urbano;-68,83864;-32,88223;18
PV20;500070510;Punto verde;767;284;25;81;136;16;42;30;124;35;96;379;24;732;18;1;0;0;37;Comercial;Altamente urbano;-68,86036;-32,89107;19
PV21;500070510;Punto verde;767;284;25;81;136;16;42;30;124;35;96;379;24;732;18;1;0;0;55;Comercial;Altamente urbano;-68,85895;-32,89124;20
PV22;500070904;Punto verde;700;282;17;80;121;19;52;19;97;21;56;382;26;658;21;0;0;0;64;Comercial;Altamente urbano;-68,85469;-32,89253;21
PV24;500070411;Punto verde;315;165;7;20;65;0;29;3;75;5;35;150;12;310;2;0;3;0;42;Central;Altamente urbano;-68,84705;-32,88941;22
PV25;500070402;Punto verde;398;196;13;32;116;4;41;11;75;15;48;175;17;387;1;0;1;0;153;Central;Altamente urbano;-68,84159087;-32,88809288;23
PV27;500070116;Punto verde;466;113;5;56;61;7;67;39;108;20;46;155;13;442;15;1;0;0;135;Central;Altamente urbano;-68,84199;-32,88676;24
PV28;500070113;Punto verde;395;131;9;30;67;4;50;9;91;21;40;159;9;376;9;1;0;0;298;Central;Altamente urbano;-68,83908338;-32,88836007;25
PV29;500070402;Punto verde;398;196;13;32;116;4;41;11;75;15;48;175;17;387;1;0;1;0;116;Central;Altamente urbano;-68,84323;-32,88985;26
PV31;500070904;Punto verde;700;282;17;80;121;19;52;19;97;21;56;382;26;658;21;0;0;0;16;Residencial urbano;Urbano;-68,85313;-32,89731;27
PV32;500070811;Punto verde;309;142;7;23;48;4;21;4;58;8;36;157;11;297;4;0;3;0;34;Comercial;Altamente urbano;-68,84135;-32,89827;28
PV33;500070803;Punto verde;1020;358;41;192;91;30;96;72;213;49;140;342;16;941;33;0;0;1;47;Comercial;Altamente urbano;-68,83903;-32,89875;29
PV34;500070809;Punto verde;528;188;11;87;102;16;40;24;82;18;47;250;23;487;16;0;0;0;8;Residencial urbano;Urbano;-68,8489;-32,90131;30
PV35;500070810;Punto verde;631;264;14;96;119;13;69;25;115;27;54;278;22;596;14;0;0;2;16;Comercial;Altamente urbano;-68,85285;-32,90114;31
PV36;500070910;Punto verde;656;263;20;86;111;15;66;19;112;26;74;305;16;620;19;0;0;0;20;Residencial urbano;Urbano;-68,85418;-32,90226;32
PV39;500070801;Punto verde;562;164;17;106;53;21;66;19;97;22;68;223;14;510;25;0;0;2;4;Central;Altamente urbano;-68,84474207;-32,89815492;33
R1;500490412;Rulero;845;253;36;186;122;27;190;56;279;42;57;118;8;753;42;2;0;3;4;Residencial urbano;Urbano;-68,83421;-32,8623;34
R2;500071008;Rulero;1174;293;99;342;103;38;514;80;271;70;25;43;0;1008;81;19;0;7;0;Residencial urbano;Urbano;-68,86139;-32,86561;35
R3;500070706;Rulero;784;305;27;106;122;18;116;26;194;29;109;236;18;735;23;1;5;0;11;Residencial urbano;Urbano;-68,84179;-32,86588;36
R4;500070204;Rulero;876;287;39;157;125;23;229;59;261;57;55;130;8;810;35;3;0;1;9;Residencial urbano;Urbano;-68,8212;-32,87064;37
R5;500071019;Rulero;1190;351;23;208;113;43;76;103;141;61;93;576;66;1120;44;0;66;3;2;Residencial suburbano;Interfaz;-68,88335;-32,87228;38
R6;500071014;Rulero;1057;259;56;300;71;51;430;65;254;55;34;45;3;904;90;14;0;2;1;Residencial urbano;Urbano;-68,86721;-32,87273;39
R7;500071009;Rulero;1259;325;107;361;98;53;517;78;335;72;37;52;1;1101;83;11;2;11;2;Residencial urbano;Urbano;-68,86221;-32,8678;40
R8;500070706;Rulero;784;305;27;106;122;18;116;26;194;29;109;236;18;735;23;1;5;0;11;Residencial urbano;Urbano;-68,84179;-32,86588;41
R9;500070709;Rulero;452;169;24;49;92;8;55;19;102;18;56;174;12;439;8;0;0;0;16;Residencial urbano;Urbano;-68,83785;-32,8689;42
R11;500070207;Rulero;785;233;23;115;110;16;154;52;214;30;80;179;13;724;29;2;0;0;13;Residencial urbano;Urbano;-68,83159;-32,87086;43
R12;500070104;Rulero;519;245;9;65;132;11;73;12;119;9;59;198;12;484;14;0;0;0;4;Comercial;Altamente urbano;-68,84197;-32,87435;44
R13;500070104;Rulero;519;245;9;65;132;11;73;12;119;9;59;198;12;484;14;0;0;0;6;Comercial;Altamente urbano;-68,84311;-32,87395;45
