Marca temporal,ID,Tipo de punto,Numero,Clasificacion,ClasificacionNum,TipoResiduo,Cantidad,CantidadNum,¿Se realiza recolección en el momento?,Calidad (grupos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:45:59 p.m.,PV11,Punto Verde,11,Buena,1.00,Papel,Medio,2.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:45:59 p.m.,PV11,Punto Verde,11,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:45:59 p.m.,PV11,Punto Verde,11,Buena,1.00,Plástico,Medio,2.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:46:19 p.m.,PV7,Punto Verde,7,Buena,1.00,Papel,Alto,3.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:46:19 p.m.,PV7,Punto Verde,7,Buena,1.00,"Vidrio, Metal, Tetra",Alto,3.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:46:19 p.m.,PV7,Punto Verde,7,Buena,1.00,Plástico,Alto,3.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:46:42 p.m.,PV3,Punto Verde,3,Buena,1.00,Papel,Alto,3.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:46:42 p.m.,PV3,Punto Verde,3,Buena,1.00,"Vidrio, Metal, Tetra",Alto,3.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:46:42 p.m.,PV3,Punto Verde,3,Buena,1.00,Plástico,Alto,3.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:50:00 p.m.,PV8,Punto Verde,8,Buena,1.00,Papel,Medio,2.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:50:00 p.m.,PV8,Punto Verde,8,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 01:50:00 p.m.,PV8,Punto Verde,8,Buena,1.00,Plástico,Medio,2.00,Sí,Buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 02:59:12 p.m.,PV12,Punto Verde,12,Regular,2.00,Plástico,Medio,2.00,Sí,Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020 02:59:12 p.m.,PV12,Punto Verde,12,Regular,2.00,Papel,Medio,2.00,Sí,Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
