fid,PuntoTipo,PuntoNumer,ID,PuntoNombr,Direccion,link,totalpobl,hogares,Desocupado,0 - 14,65 y más,Inicial (j,Primario,EGB,Secundario,Polimodal,Superior n,Universita,Post unive,lee_y _esc,NoLee_ni_e,Hacinamien,sin red ag,Sin cloaca,toponimo_i,dens pob,macroz_2,Clasifica,Area_Has,Seccion,Nombre,Calidad_residuo,Y_WGS,X_WGS
1,Punto Verde,1,PV1,B° Sanidad (UV),Dr. Emilio Coni y Metraux,500071020,848,259,39,190,97,35,124,80,180,50,78,225,22,766,40,1,0,23,326426,"8,445",Residencial urbano,Urbano,490,8,Aeroparque,"1,94","-32,86601312","-68,87539668"
20,Punto Verde,10,PV10,Liceo Militar General Espejo,Av. Boulogne Sur Mer 2136,500071013,12,1,0,1,0,0,3,0,0,3,5,0,0,12,0,0,0,0,326417,"0,409",Especial Ejercito,Especial,113,7,Residencial Parque,0,"-32,87422","-68,85939"
21,Punto Verde,11,PV11,Plaza Mathons,Jorge Newbery 450-402,500070604,620,215,17,101,103,16,79,42,156,29,62,189,15,577,22,1,0,0,326364,"61,018",Residencial urbano,Urbano,490,6,Residencial Norte,"1,73","-32,87347","-68,85207"
23,Punto Verde,12,PV12,Parque Central 1,Los Toneles 405-409,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,326312,"39,914",Comercial,Altamente urbano,411,1,Parque Central,"1,63","-32,87689","-68,84286"
25,Punto Verde,13,PV13,Parque Central 2,El Parral 2243-2299,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,326312,"39,914",Comercial,Altamente urbano,411,1,Parque Central,"2,00","-32,87688","-68,84286"
27,Punto Verde,14,PV14,Nave Cultural,Las Cubas 201,500070106,664,268,21,104,120,16,103,12,154,30,65,233,8,610,18,2,2,0,326314,"36,211",Comercial,Altamente urbano,411,1,Parque Central,"1,33","-32,87759","-68,83989"
29,Punto Verde,15,PV15,Gimnasio N° 5,B° Alto Mendoza 11va Sección,500071303,1314,285,52,382,39,49,569,140,236,110,25,34,0,1133,85,5,0,6,326454,"43,67",Residencial urbano,Urbano,176,11,San Agustin,0,"-32,88753","-68,90318"
30,Punto Verde,16,PV16,Plaza B° Soberanía,Ingenieros J. 1660,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,326423,"10,684",Residencial urbano,Urbano,490,7,Residencial Parque,0,"-32,87731","-68,873"
34,Punto Verde,18,PV18,Mitre y Godoy Cruz,Mitre y Godoy Cruz,500070115,411,192,11,50,100,13,41,11,90,8,57,160,17,390,10,2,0,0,326322,"87,671",Central,Altamente urbano,225,1,Parque Central,"1,68","-32,88336","-68,84285"
36,Punto Verde,19,PV19,Vea Patricias Mendocinas,Patricias Mendocinas y Barcala,500070107,704,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,326315,"49,598",Comercial,Altamente urbano,411,1,Parque Central,"1,50","-32,88223","-68,83864"
