Marca temporal,Tipo de punto,Número de punto verde,Clasificación residuos,Cantidad residuo [Papel],"Cantidad residuo [Vidrio, Metal, Tetra]",Cantidad residuo [Plástico],Número de rulero,Clasificación residuos,Cantidad residuo [PET],¿Se realiza recolección en el momento?
17/06/2020 15:52:19,Punto Verde,1,Regular,Bajo,Medio,Medio,,,,Sí
17/06/2020 15:51:49,Rulero,,,,,,5,Regular,Medio,Sí
17/06/2020 15:49:38,Punto Verde,3,Regular,Medio,Medio,Medio,,,,Sí
17/06/2020 15:49:01,Punto Verde,7,Buena,Alto,Alto,Alto,,,,Sí
13/03/2020 9:27:23,Rulero,,,,,,1,Buena,Medio,Sí
17/06/2020 15:48:36,Punto Verde,11,Buena,Alto,Alto,Alto,,,,Sí
17/03/2020 10:12:50,Rulero,,,,,,9,Regular,Medio,Sí
17/03/2020 10:13:34,Rulero,,,,,,8,Regular,Medio,Sí
17/03/2020 10:14:27,Rulero,,,,,,3,Buena,Medio,Sí
17/06/2020 15:48:07,Rulero,,,,,,25,Regular,Medio,Sí
17/03/2020 10:15:33,Rulero,,,,,,16,Buena,Medio,Sí
17/03/2020 10:15:49,Rulero,,,,,,18,Buena,Medio,Sí
17/06/2020 15:47:52,Rulero,,,,,,15,Regular,Medio,Sí
17/06/2020 15:47:24,Rulero,,,,,,19,Regular,Medio,Sí
17/06/2020 15:46:54,Punto Verde,23,Buena,Alto,Alto,Alto,,,,Sí
17/06/2020 15:46:39,Rulero,,,,,,20,Regular,Medio,Sí
17/06/2020 15:46:20,Rulero,,,,,,22,Regular,Medio,Sí
17/06/2020 15:45:55,Rulero,,,,,,28,Regular,Medio,Sí
17/03/2020 10:23:34,Rulero,,,,,,24,Regular,Medio,Sí
17/03/2020 10:24:17,Rulero,,,,,,19,Regular,Medio,Sí
17/03/2020 10:24:57,Rulero,,,,,,31,Regular,Bajo,Sí
17/03/2020 10:25:20,Rulero,,,,,,32,Regular,Medio,Sí
17/03/2020 10:25:48,Rulero,,,,,,32,Buena,Medio,Sí
17/03/2020 10:26:21,Rulero,,,,,,34,Buena,Medio,Sí
17/06/2020 15:45:31,Rulero,,,,,,27,Regular,Medio,Sí
17/03/2020 10:27:34,Rulero,,,,,,35,Buena,Medio,Sí
17/06/2020 15:45:10,Rulero,,,,,,26,Regular,Bajo,Sí
17/03/2020 10:29:41,Rulero,,,,,,23,Regular,Bajo,Sí
17/03/2020 10:30:48,Rulero,,,,,,11,Buena,Medio,Sí
17/06/2020 15:44:45,Punto Verde,20,Regular,Bajo,Medio,Medio,,,,Sí
17/06/2020 15:44:30,Punto Verde,21,Regular,Medio,Medio,Medio,,,,Sí
17/06/2020 15:44:08,Rulero,,,,,,29,Regular,Medio,Sí
17/03/2020 10:37:26,Rulero,,,,,,17,Regular,Bajo,Sí
17/03/2020 10:38:40,Rulero,,,,,,9,Buena,Medio,Sí
17/06/2020 15:43:42,Rulero,,,,,,30,Regular,Medio,Sí
17/03/2020 10:40:24,Rulero,,,,,,1,Buena,Medio,Sí
17/06/2020 15:43:19,Punto Verde,36,Regular,Medio,Medio,Medio,,,,No
17/03/2020 17:25:28,Rulero,,,,,,40,Regular,Bajo,Sí
17/06/2020 15:43:00,Rulero,,,,,,38,Regular,Medio,Sí
17/06/2020 15:42:41,Punto Verde,35,Regular,Medio,Medio,Medio,,,,Sí
17/03/2020 17:27:03,Rulero,,,,,,39,Regular,Bajo,Sí
17/06/2020 15:42:24,Rulero,,,,,,39,Regular,Medio,Sí
17/03/2020 17:28:23,Rulero,,,,,,38,Buena,Medio,Sí
17/03/2020 17:28:55,Rulero,,,,,,30,Buena,Medio,Sí
17/06/2020 15:42:07,Punto Verde,34,Regular,Bajo,Medio,Medio,,,,Sí
17/03/2020 17:30:38,Rulero,,,,,,29,Buena,Alto,Sí
17/03/2020 17:31:32,Rulero,,,,,,27,Buena,Medio,Sí
17/03/2020 17:31:57,Rulero,,,,,,28,Buena,Medio,Sí
17/03/2020 17:32:52,Rulero,,,,,,26,Buena,Alto,Sí
17/06/2020 15:41:48,Rulero,,,,,,40,Regular,Bajo,Sí
17/06/2020 15:41:31,Rulero,,,,,,36,Regular,Medio,Sí
