ID,x_wgs,y_wgs
1,-68.87504,-32.86411
2,-68.87615,-32.86472
3,-68.87705,-32.86455
4,-68.87525,-32.86489
5,-68.87497,-32.86773
6,-68.87396,-32.86514
7,-68.87739,-32.86579
8,-68.87648,-32.86596
9,-68.8756,-32.86613
10,-68.87685,-32.86737
11,-68.87597,-32.86754
12,-68.86591,-32.8654
13,-68.86848,-32.86439
14,-68.86845,-32.86489
15,-68.87013,-32.86495
16,-68.86842,-32.86538
17,-68.86868,-32.8654
18,-68.8702,-32.86545
19,-68.86865,-32.8659
20,-68.87026,-32.86598
21,-68.87033,-32.86644
22,-68.86795,-32.86648
23,-68.86861,-32.8666
24,-68.86893,-32.86811
25,-68.8704,-32.86698
26,-68.86868,-32.86709
27,-68.86869,-32.86716
28,-68.86881,-32.86761
29,-68.86608,-32.86623
30,-68.86601,-32.86624
31,-68.86538,-32.86633
32,-68.86612,-32.86681
33,-68.86553,-32.8669
34,-68.86792,-32.86435
35,-68.8679,-32.86486
36,-68.8679,-32.86527
37,-68.8679,-32.86536
38,-68.86722,-32.86541
39,-68.86801,-32.86596
40,-68.86777,-32.86599
41,-68.86736,-32.86605
42,-68.86615,-32.86622
43,-68.86788,-32.86649
44,-68.86629,-32.86671
45,-68.86804,-32.86696
46,-68.86809,-32.86718
47,-68.86641,-32.86722
48,-68.86815,-32.86745
49,-68.86651,-32.8677
50,-68.86825,-32.86797
51,-68.85584,-32.86481
52,-68.85579,-32.86547
53,-68.85577,-32.86565
54,-68.85572,-32.86618
55,-68.85568,-32.86668
56,-68.85197,-32.86484
57,-68.85281,-32.86493
58,-68.85275,-32.86556
59,-68.8527,-32.86614
60,-68.85183,-32.86646
61,-68.85267,-32.86652
62,-68.85261,-32.86715
63,-68.85257,-32.86772
64,-68.85256,-32.86785
65,-68.85413,-32.86397
66,-68.85408,-32.86445
67,-68.85502,-32.8645
68,-68.85499,-32.86476
69,-68.85342,-32.865
70,-68.85401,-32.86507
71,-68.85493,-32.86528
72,-68.85396,-32.86552
73,-68.85491,-32.8656
74,-68.8549,-32.86563
75,-68.85395,-32.86563
76,-68.85393,-32.86585
77,-68.85488,-32.86594
78,-68.85486,-32.86613
79,-68.8539,-32.86618
80,-68.85388,-32.86621
81,-68.85485,-32.86627
82,-68.85385,-32.86659
83,-68.8548,-32.86664
84,-68.85378,-32.86723
85,-68.85372,-32.86779
86,-68.83381,-32.86361
87,-68.83517,-32.86369
88,-68.83407,-32.86469
89,-68.83269,-32.8622
90,-68.83259,-32.86282
91,-68.83253,-32.8633
92,-68.8325,-32.86353
93,-68.83246,-32.86396
94,-68.83246,-32.86398
95,-68.8326,-32.86461
96,-68.83265,-32.8622
97,-68.8335,-32.86225
98,-68.83422,-32.86231
99,-68.83485,-32.86235
100,-68.82741,-32.86945
101,-68.82745,-32.87009
102,-68.82696,-32.87011
103,-68.82751,-32.87114
104,-68.82756,-32.87203
105,-68.82588,-32.87115
106,-68.82457,-32.87119
107,-68.82597,-32.8721
108,-68.82467,-32.87212
109,-68.82608,-32.87324
110,-68.82437,-32.86947
111,-68.82568,-32.86945
112,-68.82578,-32.87013
113,-68.82445,-32.87016
114,-68.82317,-32.87122
115,-68.86709,-32.86906
116,-68.86709,-32.86907
117,-68.86913,-32.86915
118,-68.8677,-32.86918
119,-68.86828,-32.8693
120,-68.86855,-32.86935
121,-68.86922,-32.86963
122,-68.86815,-32.86974
123,-68.86871,-32.86986
124,-68.86926,-32.86997
125,-68.86989,-32.8701
126,-68.8673,-32.87054
