Rulero,Escuela,Distancia,x_wgs,y_wgs
2,BEATRIZ FALCITELLI,2159.143819,-68.86139,-32.86562
2,ENRIQUETA D DE VIDELA,2994.972852,-68.86139,-32.86562
2,NTRA.SRA.DEL ROSARIO DE POMPEYA,2352.022311,-68.86139,-32.86562
2,NUESTRA SE¥ORA DEL  ROSARIO DE POMPEYA,2357.412992,-68.86139,-32.86562
2,A.P.A.N.D.O.,2833.554816,-68.86139,-32.86562
2,PEDRO DEL CASTILLO,3041.059156,-68.86139,-32.86562
2,FRAY MAMERTO ESQUIU,2646.524222,-68.86139,-32.86562
2,DR. GREGORIO ARAOZ ALFARO,3171.199924,-68.86139,-32.86562
2,DON BOSCO,3204.351036,-68.86139,-32.86562
2,DON BOSCO,3209.729605,-68.86139,-32.86562
2,RICARDO ROJAS,3463.59926,-68.86139,-32.86562
2,TIBURCIO BENEGAS,3382.613191,-68.86139,-32.86562
2,ESCUELA N�?? 3-403 (CENS),3347.744024,-68.86139,-32.86562
2,MARIANO MORENO,3323.15251,-68.86139,-32.86562
2,SAN PEDRO NOLASCO,3343.833256,-68.86139,-32.86562
2,S.PEDRO NOLASCO,3365.512295,-68.86139,-32.86562
2,JOSE FEDERICO MORENO,3008.904997,-68.86139,-32.86562
2,ESCUELA REGIONAL DE CINE Y VIDEO,3135.158921,-68.86139,-32.86562
2,STO.TOMAS DE AQUINO,2981.187914,-68.86139,-32.86562
2,STO. TOMAS DE AQUINO,2973.579969,-68.86139,-32.86562
2,FUNDACION RICART (NORBRIDGE),2447.896399,-68.86139,-32.86562
2,DR.BERNARDO A HOUSSAY,2467.388901,-68.86139,-32.86562
2,PABLO BESSON,2774.751764,-68.86139,-32.86562
2,PABLO BESSON,2683.2771,-68.86139,-32.86562
2,SAN NICOLµS DEL CARRASCAL,2986.039372,-68.86139,-32.86562
2,MERCEDITAS DE SAN MARTIN,2972.283615,-68.86139,-32.86562
2,ESCUELA N�?? 3-408 CENS BELGRANO EDUCADOR,1370.191727,-68.86139,-32.86562
2,ROBERTO ARLT,2410.345217,-68.86139,-32.86562
2,COMBATE DE SAN LORENZO,3509.71548,-68.86139,-32.86562
2,RAQUEL MENENDEZ DE PAVON,3780.723699,-68.86139,-32.86562
2,NUESTRA ESCUELA,3279.21328,-68.86139,-32.86562
2,DOMINGO BOMBAL,3818.299099,-68.86139,-32.86562
2,INSTITUTO SUPERIOR DE CS. RELIGIOSAS SAN,3667.192643,-68.86139,-32.86562
2,CECILIA GRIERSON,3760.11,-68.86139,-32.86562
2,SAGRADO CORAZON,3635.367675,-68.86139,-32.86562
2,SAGRADO CORAZON,3639.783401,-68.86139,-32.86562
2,INSTITUTO SUPERIOR NUEVO CUYO,3620.262532,-68.86139,-32.86562
2,S.T.R.O.B.E.R.I.,3828.938878,-68.86139,-32.86562
2,Dr.Daniel Fernando Gonzalez,3755.808324,-68.86139,-32.86562
2,PEDRO NOLASCO FERREYRA,3767.158067,-68.86139,-32.86562
2,SAN LUIS GONZAGA,3668.282574,-68.86139,-32.86562
2,POLICÍAS H�??ROES DE MENDOZA,3172.189138,-68.86139,-32.86562
