ID,Numero,CantidadNum,fid,totalpobl,hogares,Desocupado,0 - 14,65 y más,Inicial (j,Primario,EGB,Secundario,Polimodal,Superior n,Universita,Post unive,lee_y _esc,NoLee_ni_e,Hacinamien,sin red ag,Sin cloaca,toponimo_i,dens pob,Area_Has,Seccion,ClasificacionNum2,Tipo de punto_Rulero,TipoResiduo_Papel,TipoResiduo_Plástico,"TipoResiduo_Vidrio, Metal, Tetra",macroz_2_Comercial,macroz_2_Especial Parque Gral. San Marti?n,macroz_2_Residencial suburbano,macroz_2_Residencial urbano
PV1,1,2.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,0,1,0,0,0,0,1
PV1,1,2.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,0,1,0,0,0,0,1
PV1,1,2.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,0,1,0,0,0,0,1
PV1,1,2.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,0,1,0,0,0,0,1
PV1,1,2.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,1,0,0,0,0,0,1
PV1,1,2.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,1,0,0,0,0,0,1
PV1,1,2.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,0,0,1,0,0,0,1
PV1,1,2.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,0,0,1,0,0,0,1
PV1,1,2.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,0,0,1,0,0,0,1
PV1,1,2.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,0,0,1,0,0,0,1
PV1,1,1.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,1,0,0,0,0,0,1
PV1,1,1.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,0,0,1,0,0,0,0,0,1
PV1,1,3.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,1,0,1,0,0,0,0,0,1
PV1,1,3.0,1.0,848.0,259.0,39.0,190.0,97.0,35.0,124.0,80.0,180.0,50.0,78.0,225.0,22.0,766.0,40.0,1.0,0.0,23.0,326426.0,8.445,490.0,8.0,1,0,0,0,1,0,0,0,1
